model,condition,item_id,a,b,modal_stance,n_modal,n_total
anthropic/claude-opus-5,C0_default,SP01,values,abilities,A,3,3
anthropic/claude-opus-5,C1_renamed,SP01,values,abilities,A,3,3
anthropic/claude-opus-5,C2_character,SP01,values,abilities,A,3,3
anthropic/claude-opus-5,C3_third_person,SP01,values,abilities,A,3,3
anthropic/claude-opus-5,P1_ceo,SP01,values,abilities,A,3,3
anthropic/claude-opus-5,P2_teacher,SP01,values,abilities,A,3,3
deepseek/deepseek-chat,C0_default,SP01,values,abilities,A,3,3
deepseek/deepseek-chat,C1_renamed,SP01,values,abilities,A,3,3
deepseek/deepseek-chat,C2_character,SP01,values,abilities,B,3,3
deepseek/deepseek-chat,C3_third_person,SP01,values,abilities,A,3,3
deepseek/deepseek-chat,P1_ceo,SP01,values,abilities,A,3,3
deepseek/deepseek-chat,P2_teacher,SP01,values,abilities,A,3,3
google/gemini-2.5-flash,C0_default,SP01,values,abilities,A,3,3
google/gemini-2.5-flash,C1_renamed,SP01,values,abilities,A,3,3
google/gemini-2.5-flash,C2_character,SP01,values,abilities,B,2,3
google/gemini-2.5-flash,C3_third_person,SP01,values,abilities,A,2,3
google/gemini-2.5-flash,P1_ceo,SP01,values,abilities,A,3,3
google/gemini-2.5-flash,P2_teacher,SP01,values,abilities,A,3,3
openai/gpt-3.5-turbo-instruct,C0_default,SP01,values,abilities,A,3,3
openai/gpt-3.5-turbo-instruct,C1_renamed,SP01,values,abilities,A,2,3
openai/gpt-3.5-turbo-instruct,C2_character,SP01,values,abilities,NO_PREF,3,3
openai/gpt-3.5-turbo-instruct,C3_third_person,SP01,values,abilities,B,2,3
openai/gpt-3.5-turbo-instruct,C4_raw_completion,SP01,values,abilities,A,2,3
openai/gpt-3.5-turbo-instruct,P1_ceo,SP01,values,abilities,NO_PREF,2,3
openai/gpt-3.5-turbo-instruct,P2_teacher,SP01,values,abilities,REFUSE,2,3
qwen/qwen-2.5-72b-instruct,C0_default,SP01,values,abilities,A,3,3
